,GSK
2008-08-11,48.46
2008-08-12,48.03
2008-08-13,47.79
2008-08-14,47.78
2008-08-15,47.58
2008-08-18,47.03
2008-08-19,46.6
2008-08-20,46.06
2008-08-21,46.2
2008-08-22,46.4
2008-08-25,45.88
2008-08-26,46.45
2008-08-27,46.55
2008-08-28,47.02
2008-08-29,46.96
2008-09-02,46.98
2008-09-03,46.29
2008-09-04,45.1
2008-09-05,45.23
2008-09-08,44.02
2008-09-09,43.92
2008-09-10,44.48
2008-09-11,44.22
2008-09-12,44.22
2008-09-15,43.84
2008-09-16,43.18
2008-09-17,42.86
2008-09-18,43.71
2008-09-19,44.44
2008-09-22,44.02
2008-09-23,44.16
2008-09-24,44.06
2008-09-25,44.47
2008-09-26,44.91
2008-09-29,41.95
2008-09-30,43.46
2008-10-01,43.31
2008-10-02,42.82
2008-10-03,42.59
2008-10-06,41.42
2008-10-07,41.16
2008-10-08,39.39
2008-10-09,35.64
2008-10-10,34.53
2008-10-13,38.63
2008-10-14,38.59
2008-10-15,36.2
2008-10-16,37.43
2008-10-17,39.1
2008-10-20,39.95
2008-10-21,37.8
2008-10-22,36.6
2008-10-23,37.11
2008-10-24,35.79
2008-10-27,36.35
2008-10-28,38.21
2008-10-29,37.45
2008-10-30,37.81
2008-10-31,38.7
2008-11-03,39.15
2008-11-04,40.18
2008-11-05,37.02
2008-11-06,36.41
2008-11-07,38.32
2008-11-10,37.6
2008-11-11,37.99
2008-11-12,36.38
2008-11-13,37.27
2008-11-14,36.25
2008-11-17,35.69
2008-11-18,37.11
2008-11-19,35.08
2008-11-20,32.54
2008-11-21,32.85
2008-11-24,34.63
2008-11-25,34.41
2008-11-26,33.5
2008-11-28,34.46
2008-12-01,32.04
2008-12-02,33.62
2008-12-03,33.78
2008-12-04,34.06
2008-12-05,35.78
2008-12-08,36.39
2008-12-09,35.76
2008-12-10,35.4
2008-12-11,36.08
2008-12-12,36.08
2008-12-15,36.29
2008-12-16,37.84
2008-12-17,37.06
2008-12-18,36.51
2008-12-19,36.76
2008-12-22,35.97
2008-12-23,35.84
2008-12-24,36.03
2008-12-26,35.91
2008-12-29,35.8
2008-12-30,36.42
2008-12-31,37.28
