,PFE
2008-08-11,19.85
2008-08-12,19.72
2008-08-13,19.65
2008-08-14,19.79
2008-08-15,19.98
2008-08-18,19.65
2008-08-19,19.34
2008-08-20,19.3
2008-08-21,19.37
2008-08-22,19.76
2008-08-25,19.53
2008-08-26,19.29
2008-08-27,19.09
2008-08-28,19.29
2008-08-29,19.08
2008-09-02,19.17
2008-09-03,19.21
2008-09-04,18.67
2008-09-05,18.51
2008-09-08,19.13
2008-09-09,18.25
2008-09-10,18.18
2008-09-11,18.41
2008-09-12,18.64
2008-09-15,18.11
2008-09-16,17.82
2008-09-17,17.18
2008-09-18,17.96
2008-09-19,18.49
2008-09-22,18.07
2008-09-23,18.01
2008-09-24,18.02
2008-09-25,18.66
2008-09-26,18.66
2008-09-29,18.01
2008-09-30,18.36
2008-10-01,18.94
2008-10-02,18.75
2008-10-03,19.05
2008-10-06,18.76
2008-10-07,17.71
2008-10-08,17.17
2008-10-09,16.18
2008-10-10,15.28
2008-10-13,16.88
2008-10-14,17.1
2008-10-15,16.26
2008-10-16,16.86
2008-10-17,16.92
2008-10-20,17.3
2008-10-21,17.34
2008-10-22,16.93
2008-10-23,17.08
2008-10-24,16.56
2008-10-27,16.38
2008-10-28,17.83
2008-10-29,17.14
2008-10-30,17.86
2008-10-31,17.86
2008-11-03,17.75
2008-11-04,18.39
2008-11-05,17.01
2008-11-06,16.39
2008-11-07,16.87
2008-11-10,16.64
2008-11-11,16.53
2008-11-12,15.86
2008-11-13,16.74
2008-11-14,16.26
2008-11-17,15.92
2008-11-18,16.28
2008-11-19,15.56
2008-11-20,14.47
2008-11-21,15.68
2008-11-24,16.06
2008-11-25,15.98
2008-11-26,16.05
2008-11-28,16.43
2008-12-01,15.27
2008-12-02,16.02
2008-12-03,16.63
2008-12-04,16.27
2008-12-05,16.76
2008-12-08,16.9
2008-12-09,16.45
2008-12-10,16.57
2008-12-11,16.63
2008-12-12,16.94
2008-12-15,16.67
2008-12-16,17.46
2008-12-17,17.22
2008-12-18,17.11
2008-12-19,17.29
2008-12-22,17.18
2008-12-23,17.03
2008-12-24,17.0
2008-12-26,17.1
2008-12-29,17.28
2008-12-30,17.76
2008-12-31,17.81
