text,positive,neutral,negative,compound
"This story originally appeared on StockNews
Growing optimism over the pharmaceutical industrys growth prospects amid the COVID-19 pandemic has bolstered the performance of certain dominant pharma p",0.366,0.634,0.0,0.8779
"NEW YORK and MAINZ, GERMANY, July 21, 2021 Pfizer Inc.
 (NYSE: PFE) and BioNTech SE
 (Nasdaq: BNTX) today announced the signing of a letter of intent with The Biovac Institute (Pty) Ltd, known as ",0.0,1.0,0.0,0.0
"People who became infected with Covid-19 after getting a messenger RNA vaccine carried less virus and had shorter cases than unvaccinated people who became infected, a study by government health res",0.0,0.808,0.192,-0.7506
"That was Dr. Scott Gottlieb, who was head of the Food and Drug Administration between 2017 and 2019, on the dangers of the coronavirus Delta variant.On Sunday, Gottlieb was being interviewed on the ",0.0,0.909,0.091,-0.4939
"The Tokyo Olympics have officially begun in Japan despite spiking cases of COVID-19 in several countries.Athletes from all over the world, including the United States, have left to compete for medal",0.169,0.831,0.0,0.7096
"The vaccines developed by Pfizer and German partner BioNTech and Moderna using mRNA technology may offer protection against the coronavirus-borne illness COVID-19 for years, according to a new study",0.0,0.909,0.091,-0.4019
"Vaccine stocks Moderna (MRNA), BioNTech (BNTX) and Novavax (NVAX) skidded Wednesday as the highly contagious Delta variant became the most prevalent Covid strain in the U.S.
XThe Delta variant, fir",0.0,0.871,0.129,-0.4865
"A very public regulatory debate about COVID-19 booster shots has seemingly put Pfizer at odds with federal health officials who say its not necessary to get another shot at this time.Pfizer 
 PFE,",0.0,1.0,0.0,0.0
"The global tally of confirmed cases of COVID-19 climbed above 184 million on Tuesday, as the highly transmissible delta variant continued to race across the world and the Israeli health ministry sai",0.0,1.0,0.0,0.0
"While the highly infectious delta variant of the coronavirus that causes COVID-19 is quickly becoming the dominant strain globally, it so far appears to not have come with a big increase in hospital",0.069,0.896,0.036,0.2732
"It looks as though the first full approval of a COVID-19 vaccine will happen by January at the latest, according to the typical timeline for new therapies that are considered a priority by U.S. regu",0.088,0.912,0.0,0.4767
"The Delta variant is now spreading in Germany amid warnings it could account for 90% of cases in Europe by August.The variant, first identified in India, accounted for 36% of cases recorded in Germa",0.0,0.937,0.062,-0.296
"The full approval of Pfizers and Modernas COVID-19 vaccines will almost certainly boost sagging vaccination rates in the U.S., though the Food and Drug Administrations decision might not come until ",0.22,0.78,0.0,0.7669
"In the latest sign of the uneven state of the coronavirus pandemic around the world, a slew of countries in the Asia-Pacific region are rushing to impose restrictions on movement to contain surging ",0.0,0.934,0.066,-0.296
SPAIN - 2021/07/13: In this photo illustration the Covax Facility logo seen displayed on a ... [+] smartphone screen with the logo of Pfizer in the background. (Photo Illustration by Thiago Prudenci,0.0,1.0,0.0,0.0
"Only about a year ago, we may have asked the opposite question: Will electric-car maker Tesla's market cap surpass that of pharmaceutical giant Pfizer(NYSE:PFE) one day? Pfizer's market value totale",0.079,0.921,0.0,0.34
"You just cant keep a bull market down.After the worst session since May 12, and a nearly 3% drop over the last three sessions, the S&amp;P 500 
 SPX,
 +1.52%
came bouncing back by 1.5%.With recor",0.0,0.833,0.167,-0.7351
"As part of her Where Should I Retire series, Silvia Ascarelli helps a couple looking to buy a home for $250,000 or less in a community that has access to cultural events, good restaurants as well as",0.202,0.798,0.0,0.765
"At the start of this year, demand for COVID-19 vaccines outpaced supply. The chances of winning the lottery felt higher than getting a vaccine appointment.Now the U.S. is confronting the opposite pr",0.147,0.765,0.088,0.4767
"With the highly infectious delta coronavirus variant spreading at an alarming rate, the World Health Organization in late June 2021 urged people to again wear masks indoors even those who are fully ",0.0,0.954,0.046,-0.128
